,0,1,2,3,4,5,6
286,70,NODAR,http://www.nodarsensor.com,N,nodarsensor//repositories/0,4,Y
287,75,Kizen,https://kizen.com,N,kizen/repositories/0,4,Y
288,81,TrustLayer,https://trustlayer.io/,N,trustlayer/repositories/0,4,Y
289,135,Insitro,http://www.insitro.com,N,insitro/repositories/0,4,N
290,197,DTonomy Inc.,https://www.dtonomy.com,N,DTonomy-Inc/repositories/0,4,Y
291,204,CogniCor,http://www.cognicor.com,N,cognicortechnologies/repositories/0,4,Y
292,231,CustomerSuccessBox,http://customersuccessbox.com,N,customersuccessbox/repositories/0,4,Y
293,290,Tempore,https://www.tempore.com,N,temporenc/repositories/0,4,N
294,502,Open Conjecture,http://openconjecture.com/,N,OpenConjecture/repositories/0,4,N
295,750,BLOCK id,https://www.blockid.cloud/,N,blockid/repositories/0,4,N
296,861,DataJet Software,https://www.datajetsoftware.com,N,datajetsoftware/repositories/0,4,N
297,972,Natively.ai,https://natively.ai,N,natively-project//repositories/0,4,N
298,1034,Rizse,https://www.rizse.io,N,Rizseinc/repositories/0,4,Y
299,1138,BigSpring,https://bigspring.io,N,bigspring-io/repositories/0,4,Y
300,1321,Rephrase.ai,https://rephrase.ai/,N,rephrase-ai/repositories/0,4,N
301,1322,Nayya,http://www.nayya.com,N,Nayya-com//repositories/0,4,N
302,1410,Synthetaic,https://www.synthetaic.com/,N,synthetaic/repositories/0,4,N
303,1441,Lynx MD,https://www.lynx.md,N,LynxMD//repositories/0,4,Y
304,1466,Pathr.ai,http://pathr.ai,N,pathr/repositories/0,4,Y
305,1507,KAID Health,https://www.kaidhealth.com/,N,KAIDHealth/repositories/0,4,N
306,1528,Infinitus Systems,https://www.infinitus.ai,N,infinitusai/repositories/0,4,Y
307,1533,Xailient,https://www.xailient.com/,N,XailientPublic//repositories/0,4,Y
308,1582,AMAI,https://amai.io/,N,amai-io/repositories/0,4,N
309,1621,Vouchery.io,https://www.vouchery.io,N,vouchery/repositories/0,4,Y
310,1739,Nuclei,https://nuclei.ai,N,NucleiAI/repositories/0,4,Y
311,1821,Weavr Inc.,https://weavr.ai,N,weavrai/repositories/0,4,N
312,1825,Marsview.ai,https://www.marsview.ai,N,Marsview/repositories/0,4,N
313,1850,extension.dev,https://extension.dev/,N,extension-dev/repositories/0,4,Y
314,1982,SHERLOC,http://www.Sherloc.ai,N,sherlock-project/repositories/0,4,N
315,2052,M2x.AI,http://www.M2x.ai,N,m2x-dev/repositories/0,4,N
316,2088,Counter Factual .AI,http://www.counterfactual.ai/,N,CounterFactualAI/repositories/0,4,N
317,2100,All Vision Technologies,https://www.all.vision/,N,all-vision//repositories/0,4,N
318,2299,Genesis Therapeutics,https://www.genesistherapeutics.ai/,N,genesistherapeutics/repositories/0,4,N
319,2357,retrain.ai,https://www.retrain.ai/,N,retrain-ai//repositories/0,4,N
320,2387,GrayMatter Robotics,https://www.graymatter-robotics.com,N,GrayMatter-Robotics//repositories/0,4,Y
321,2420,Datrics,https://datrics.ai/,N,datrics-ai/repositories/0,4,Y
322,2437,Clearbrief,https://clearbrief.com,N,clearbrief-inc//repositories/0,4,N
323,2526,Multiscale Technologies,https://multiscale.tech,N,multiscale/repositories/0,4,N
324,2624,Berryworks,https://www.berryworks.ai,N,BerryWorksSoftware/repositories/0,4,N
325,2650,Pangea Chat,https://www.pangeachat.com,N,pangeachat//repositories/0,4,N
326,2698,aiXplain,https://aixplain.com/,N,aixplain/repositories/0,4,Y
327,2806,Preamble,https://www.preamble.com/,N,preambleai//repositories/0,4,N
328,2831,Soniox,https://soniox.com,N,soniox/repositories/0,4,Y
329,41,Superb AI,https://www.superb-ai.com,N,Superb-AI-Suite/repositories/0,3,Y
330,94,Birdie,https://birdie.ai,N,birdie-ai/repositories/0,3,N
331,104,BlueCargo,https://www.bluecargo.io/,N,bluecargo/repositories/0,3,Y
332,176,Bright Machines,https://www.brightmachines.com,N,brightmachines//repositories/0,3,N
333,210,Jido Maps,https://www.jidomaps.com/,N,jidomaps/repositories/0,3,Y
334,250,Latent AI,http://latentai.com/,N,latentai//repositories/0,3,N
335,264,Tint.ai,https://www.tint.ai,N,tint-ai/repositories/0,3,Y
336,278,Around,https://www.around.co,N,around/repositories/0,3,N
337,317,Amplio.ai,https://www.amplio.ai/,N,Amplio-ai/repositories/0,3,N
338,438,Tresl,https://tresl.co/,N,tresl-co/repositories/0,3,Y
339,444,Quantime,https://quantime.ai,N,quantime/repositories/0,3,Y
